CAMPO_ORIGINAL;CATEGORIA;CODIGO;FREQUENCIA
CODE_GENDER;F;0;202448
CODE_GENDER;M;1;105059
CODE_GENDER;XNA;2;4
FLAG_OWN_CAR;N;0;202924
FLAG_OWN_CAR;Y;1;104587
FLAG_OWN_REALTY;N;0;94199
FLAG_OWN_REALTY;Y;1;213312
NAME_INCOME_TYPE;Businessman;0;10
NAME_INCOME_TYPE;Commercial associate;1;71617
NAME_INCOME_TYPE;Maternity leave;2;5
NAME_INCOME_TYPE;Pensioner;3;55362
NAME_INCOME_TYPE;State servant;4;21703
NAME_INCOME_TYPE;Student;5;18
NAME_INCOME_TYPE;Unemployed;6;22
NAME_INCOME_TYPE;Working;7;158774
NAME_EDUCATION_TYPE;Academic degree;0;164
NAME_EDUCATION_TYPE;Higher education;1;74863
NAME_EDUCATION_TYPE;Incomplete higher;2;10277
NAME_EDUCATION_TYPE;Lower secondary;3;3816
NAME_EDUCATION_TYPE;Secondary / secondary special;4;218391
NAME_FAMILY_STATUS;Unknown;0;2
NAME_FAMILY_STATUS;Civil marriage;1;29775
NAME_FAMILY_STATUS;Married;2;196432
NAME_FAMILY_STATUS;Separated;3;19770
NAME_FAMILY_STATUS;Single / not married;4;45444
NAME_FAMILY_STATUS;Widow;5;16088
NAME_HOUSING_TYPE;Co-op apartment;0;1122
NAME_HOUSING_TYPE;House / apartment;1;272868
NAME_HOUSING_TYPE;Municipal apartment;2;11183
NAME_HOUSING_TYPE;Office apartment;3;2617
NAME_HOUSING_TYPE;Rented apartment;4;4881
NAME_HOUSING_TYPE;With parents;5;14840
OCCUPATION_TYPE;Unknown;0;96391
OCCUPATION_TYPE;Accountants;1;9813
OCCUPATION_TYPE;Cleaning staff;2;4653
OCCUPATION_TYPE;Cooking staff;3;5946
OCCUPATION_TYPE;Core staff;4;27570
OCCUPATION_TYPE;Drivers;5;18603
OCCUPATION_TYPE;HR staff;6;563
OCCUPATION_TYPE;High skill tech staff;7;11380
OCCUPATION_TYPE;IT staff;8;526
OCCUPATION_TYPE;Laborers;9;55186
OCCUPATION_TYPE;Low-skill Laborers;10;2093
OCCUPATION_TYPE;Managers;11;21371
OCCUPATION_TYPE;Medicine staff;12;8537
OCCUPATION_TYPE;Private service staff;13;2652
OCCUPATION_TYPE;Realty agents;14;751
OCCUPATION_TYPE;Sales staff;15;32102
OCCUPATION_TYPE;Secretaries;16;1305
OCCUPATION_TYPE;Security staff;17;6721
OCCUPATION_TYPE;Waiters/barmen staff;18;1348
ORGANIZATION_TYPE;Advertising;0;429
ORGANIZATION_TYPE;Agriculture;1;2454
ORGANIZATION_TYPE;Bank;2;2507
ORGANIZATION_TYPE;Business Entity Type 1;3;5984
ORGANIZATION_TYPE;Business Entity Type 2;4;10553
ORGANIZATION_TYPE;Business Entity Type 3;5;67992
ORGANIZATION_TYPE;Cleaning;6;260
ORGANIZATION_TYPE;Construction;7;6721
ORGANIZATION_TYPE;Culture;8;379
ORGANIZATION_TYPE;Electricity;9;950
ORGANIZATION_TYPE;Emergency;10;560
ORGANIZATION_TYPE;Government;11;10404
ORGANIZATION_TYPE;Hotel;12;966
ORGANIZATION_TYPE;Housing;13;2958
ORGANIZATION_TYPE;Industry: type 1;14;1039
ORGANIZATION_TYPE;Industry: type 10;15;109
ORGANIZATION_TYPE;Industry: type 11;16;2704
ORGANIZATION_TYPE;Industry: type 12;17;369
ORGANIZATION_TYPE;Industry: type 13;18;67
ORGANIZATION_TYPE;Industry: type 2;19;458
ORGANIZATION_TYPE;Industry: type 3;20;3278
ORGANIZATION_TYPE;Industry: type 4;21;877
ORGANIZATION_TYPE;Industry: type 5;22;599
ORGANIZATION_TYPE;Industry: type 6;23;112
ORGANIZATION_TYPE;Industry: type 7;24;1307
ORGANIZATION_TYPE;Industry: type 8;25;24
ORGANIZATION_TYPE;Industry: type 9;26;3368
ORGANIZATION_TYPE;Insurance;27;597
ORGANIZATION_TYPE;Kindergarten;28;6880
ORGANIZATION_TYPE;Legal Services;29;305
ORGANIZATION_TYPE;Medicine;30;11193
ORGANIZATION_TYPE;Military;31;2634
ORGANIZATION_TYPE;Mobile;32;317
ORGANIZATION_TYPE;Other;33;16683
ORGANIZATION_TYPE;Police;34;2341
ORGANIZATION_TYPE;Postal;35;2157
ORGANIZATION_TYPE;Realtor;36;396
ORGANIZATION_TYPE;Religion;37;85
ORGANIZATION_TYPE;Restaurant;38;1811
ORGANIZATION_TYPE;School;39;8893
ORGANIZATION_TYPE;Security;40;3247
ORGANIZATION_TYPE;Security Ministries;41;1974
ORGANIZATION_TYPE;Self-employed;42;38412
ORGANIZATION_TYPE;Services;43;1575
ORGANIZATION_TYPE;Telecom;44;577
ORGANIZATION_TYPE;Trade: type 1;45;348
ORGANIZATION_TYPE;Trade: type 2;46;1900
ORGANIZATION_TYPE;Trade: type 3;47;3492
ORGANIZATION_TYPE;Trade: type 4;48;64
ORGANIZATION_TYPE;Trade: type 5;49;49
ORGANIZATION_TYPE;Trade: type 6;50;631
ORGANIZATION_TYPE;Trade: type 7;51;7831
ORGANIZATION_TYPE;Transport: type 1;52;201
ORGANIZATION_TYPE;Transport: type 2;53;2204
ORGANIZATION_TYPE;Transport: type 3;54;1187
ORGANIZATION_TYPE;Transport: type 4;55;5398
ORGANIZATION_TYPE;University;56;1327
ORGANIZATION_TYPE;XNA;57;55374
