rank_j48;id_atributo;atributo;ocorrencias;menor_profundidade;score_j48
1;23;SER_DIVIDA_ATRASADA;46;0;5.027198
2;11;EXT_SOURCE_3;230;1;14.449255
3;30;SER_QTDE_PRORROGACOES;58;1;4.563553
4;10;EXT_SOURCE_2;308;2;18.646053
5;14;FLAG_OWN_CAR_COD;230;2;14.120916
6;39;PREV_QTDE_CANCELADO;342;3;18.970094
7;24;SER_CREDITOS_ATIVOS;314;3;16.876328
8;9;EXT_SOURCE_1;288;3;16.873839
9;6;FLAG_EMP_PHONE;74;3;5.764254
10;1;CNT_CHILDREN;350;4;19.689883
11;8;REGION_RATING_CLIENT;294;4;17.367554
12;19;NAME_HOUSING_TYPE_COD;256;5;14.04717
13;13;CODE_GENDER_COD;188;5;11.41809
14;21;ORGANIZATION_TYPE_COD;212;5;10.219555
15;7;FLAG_EMAIL;144;5;9.331776
16;36;PREV_RAZAO_APROVADO_SOLICITADO;188;5;9.058368
17;37;PREV_QTDE_COM_SEGURO;388;6;20.176451
18;20;OCCUPATION_TYPE_COD;310;6;15.382133
19;4;AGE_YEARS;262;6;13.412859
20;3;AMT_CREDIT;222;6;11.048717
21;17;NAME_EDUCATION_TYPE_COD;146;6;9.418988
22;28;SER_DIVIDA_TOTAL;128;6;6.817682
23;18;NAME_FAMILY_STATUS_COD;354;7;17.659227
24;15;FLAG_OWN_REALTY_COD;286;7;15.459744
25;32;PREV_QTDE_REJEITADAS;244;7;14.265067
26;22;SER_QTDE_EMPRESTIMOS;228;7;12.306918
27;29;SER_MAX_OVERDUE;210;7;10.504123
28;33;PREV_TAXA_REJEICAO;154;7;8.808007
29;34;PREV_VALOR_SOLICITADO_TOTAL;150;7;7.24026
30;27;SER_CREDITO_TOTAL;126;7;6.047329
31;16;NAME_INCOME_TYPE_COD;230;8;11.570222
32;12;CREDIT_INCOME_RATIO;204;8;11.022708
33;38;PREV_QTDE_CLIENTE_REPETIDOR;170;8;8.714999
34;25;SER_DAYS_CREDIT_MEDIO;156;8;8.328963
35;26;SER_DIAS_ATRASO_MAX;24;8;1.495079
36;31;PREV_QTDE_TENTATIVAS;222;9;10.824057
37;35;PREV_VALOR_APROVADO_TOTAL;60;9;2.914847
38;2;AMT_INCOME_TOTAL;320;10;15.331314
