metodo;rodada;base;arquivo;status;acuracia;corretas;incorretas;kappa;mean_absolute_error;root_mean_squared_error;tp_rate_classe_1;fp_rate_classe_1;precision_classe_1;recall_classe_1;f_measure_classe_1;roc_area_classe_1;matriz_confusao;tempo_script_segundos
J48;Rodada 1;Completa;C:\Users\drz\Desktop\Faculdade\CD\entrega_preprocessamento_ciencia_dados\trabalho_2_classificacao\resultados\rodada_1_base_completa\J48.txt;OK;90.6807;278853;28658;0.0945;0.1397;0.2918;0,087;0,021;0,264;0,087;0,131;0,589;a      b   <-- classified as | 276701   5985 |      a = 0 | 22673   2152 |      b = 1;6159.08
RandomForest;Rodada 1;Completa;C:\Users\drz\Desktop\Faculdade\CD\entrega_preprocessamento_ciencia_dados\trabalho_2_classificacao\resultados\rodada_1_base_completa\RandomForest.txt;OK;91.9382;282720;24791;0.0085;0.1417;0.2625;0,005;0,000;0,579;0,005;0,010;0,734;a      b   <-- classified as | 282596     90 |      a = 0 | 24701    124 |      b = 1;8009.70
IBk;Rodada 1;Completa;C:\Users\drz\Desktop\Faculdade\CD\entrega_preprocessamento_ciencia_dados\trabalho_2_classificacao\resultados\rodada_1_base_completa\IBk.txt;OK;91.3551;280927;26584;0.0428;0.1345;0.2864;0,035;0,009;0,250;0,035;0,062;0,598;a      b   <-- classified as | 280049   2637 |      a = 0 | 23947    878 |      b = 1;45154.33
NaiveBayes;Rodada 1;Completa;C:\Users\drz\Desktop\Faculdade\CD\entrega_preprocessamento_ciencia_dados\trabalho_2_classificacao\resultados\rodada_1_base_completa\NaiveBayes.txt;OK;87.8684;270205;37306;0.096;0.1383;0.324;0,144;0,057;0,182;0,144;0,160;0,685;a      b   <-- classified as | 266642  16044 |      a = 0 | 21262   3563 |      b = 1;57.98
BayesNet;Rodada 1;Completa;C:\Users\drz\Desktop\Faculdade\CD\entrega_preprocessamento_ciencia_dados\trabalho_2_classificacao\resultados\rodada_1_base_completa\BayesNet_retry.txt;OK;88.4089;271867;35644;0.1921;0.1623;0.2981;0,245;0,060;0,265;0,245;0,255;0,729;a      b   <-- classified as | 265773  16913 |      a = 0 | 18731   6094 |      b = 1;179.30
J48;Rodada 2;Reduzida;C:\Users\drz\Desktop\Faculdade\CD\entrega_preprocessamento_ciencia_dados\trabalho_2_classificacao\resultados\rodada_2_base_reduzida\J48.txt;OK;91.8312;282391;25120;0.0286;0.1441;0.2711;0,019;0,003;0,381;0,019;0,036;0,586;a      b   <-- classified as | 281921    765 |      a = 0 | 24355    470 |      b = 1;2685.57
RandomForest;Rodada 2;Reduzida;C:\Users\drz\Desktop\Faculdade\CD\entrega_preprocessamento_ciencia_dados\trabalho_2_classificacao\resultados\rodada_2_base_reduzida\RandomForest.txt;OK;91.6273;281764;25747;0.0303;0.1408;0.2704;0,023;0,005;0,276;0,023;0,042;0,687;a      b   <-- classified as | 281196   1490 |      a = 0 | 24257    568 |      b = 1;2943.49
IBk;Rodada 2;Reduzida;C:\Users\drz\Desktop\Faculdade\CD\entrega_preprocessamento_ciencia_dados\trabalho_2_classificacao\resultados\rodada_2_base_reduzida\IBk.txt;OK;91.1701;280358;27153;0.0494;0.1385;0.2882;0,043;0,012;0,239;0,043;0,073;0,602;a      b   <-- classified as | 279293   3393 |      a = 0 | 23760   1065 |      b = 1;28690.44
NaiveBayes;Rodada 2;Reduzida;C:\Users\drz\Desktop\Faculdade\CD\entrega_preprocessamento_ciencia_dados\trabalho_2_classificacao\resultados\rodada_2_base_reduzida\NaiveBayes.txt;OK;90.4345;278096;29415;0.0926;0.1296;0.2829;0,090;0,024;0,247;0,090;0,132;0,704;a      b   <-- classified as | 275864   6822 |      a = 0 | 22593   2232 |      b = 1;21.58
BayesNet;Rodada 2;Reduzida;C:\Users\drz\Desktop\Faculdade\CD\entrega_preprocessamento_ciencia_dados\trabalho_2_classificacao\resultados\rodada_2_base_reduzida\BayesNet.txt;OK;91.5086;281399;26112;0.0908;0.1434;0.2682;0,068;0,010;0,361;0,068;0,114;0,726;a      b   <-- classified as | 279721   2965 |      a = 0 | 23147   1678 |      b = 1;38.74
