ROW_ID_AMOSTRA;CNT_CHILDREN;AMT_INCOME_TOTAL;AMT_CREDIT;AGE_YEARS;FLAG_MOBIL;FLAG_EMP_PHONE;FLAG_EMAIL;REGION_RATING_CLIENT;EXT_SOURCE_1;EXT_SOURCE_2;EXT_SOURCE_3;CREDIT_INCOME_RATIO;CODE_GENDER_COD;FLAG_OWN_CAR_COD;FLAG_OWN_REALTY_COD;NAME_INCOME_TYPE_COD;NAME_EDUCATION_TYPE_COD;NAME_FAMILY_STATUS_COD;NAME_HOUSING_TYPE_COD;OCCUPATION_TYPE_COD;ORGANIZATION_TYPE_COD;SER_QTDE_EMPRESTIMOS;SER_DIVIDA_ATRASADA;SER_CREDITOS_ATIVOS;SER_DAYS_CREDIT_MEDIO;SER_DIAS_ATRASO_MAX;SER_CREDITO_TOTAL;SER_DIVIDA_TOTAL;SER_MAX_OVERDUE;SER_QTDE_PRORROGACOES;PREV_QTDE_TENTATIVAS;PREV_QTDE_REJEITADAS;PREV_TAXA_REJEICAO;PREV_VALOR_SOLICITADO_TOTAL;PREV_VALOR_APROVADO_TOTAL;PREV_RAZAO_APROVADO_SOLICITADO;PREV_QTDE_COM_SEGURO;PREV_QTDE_CLIENTE_REPETIDOR;PREV_QTDE_CANCELADO
245896;2;207000.0;465457.5;36.41;1;1;0;2;0.675878;0.604894;0.000527;2.248587;1;1;0;1;4;2;1;15;5;7.0;0.0;3.0;-1142.857143;0.0;970276.5;276988.5;1440.0;0.0;5.0;3.0;0.6;111397.5;500152.5;4.4898;0.0;4.0;0.0
98195;0;247500.0;1281712.5;40.46;1;1;1;3;0.430827;0.425351;0.712155;5.178636;0;1;1;1;1;4;1;11;5;5.0;0.0;2.0;-841.6;0.0;4330867.5;0.0;16362.0;0.0;12.0;2.0;0.166667;5451111.0;5856250.5;1.074322;5.0;11.0;0.0
36464;0;202500.0;495000.0;49.03;1;1;0;2;0.527239;0.53176;0.207964;2.444444;0;1;0;7;4;2;1;15;42;6.0;0.0;3.0;-859.166667;0.0;2804085.0;1431166.5;0.0;0.0;7.0;1.0;0.142857;847124.73;885895.83;1.045768;0.0;5.0;2.0
249924;0;247500.0;254700.0;53.73;1;1;0;1;0.505998;0.693521;0.614414;1.029091;0;0;1;4;4;5;1;7;5;2.0;0.0;0.0;-2421.0;0.0;252517.05;0.0;47610.0;0.0;1.0;0.0;0.0;104292.0;103153.5;0.989084;0.0;0.0;0.0
158390;0;112500.0;308133.0;55.65;1;1;0;2;0.654882;0.56069;0.636376;2.73896;1;0;1;7;4;4;1;9;5;3.0;0.0;1.0;-1215.666667;0.0;1360575.0;487476.0;0.0;0.0;9.0;3.0;0.333333;631620.0;1599322.5;2.532096;3.0;7.0;1.0
226344;0;85500.0;152820.0;52.38;1;0;0;2;0.505998;0.519127;0.104795;1.787368;1;0;1;3;4;2;1;0;57;3.0;315.0;3.0;-216.666667;211.0;369652.5;34645.5;0.0;0.0;2.0;0.0;0.0;327600.0;338283.0;1.03261;1.0;1.0;0.0
69572;1;112500.0;900000.0;43.04;1;1;0;2;0.714067;0.547963;0.535276;8.0;0;0;0;1;4;2;1;0;5;2.0;0.0;0.0;-1072.5;0.0;110963.61;0.0;28943.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
181470;0;141606.0;810000.0;29.57;1;1;0;2;0.505998;0.012588;0.490258;5.720097;1;1;1;1;4;4;1;9;47;2.0;0.0;2.0;-608.5;0.0;1035000.0;676449.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
114737;0;130500.0;781920.0;64.38;1;0;0;2;0.505998;0.077535;0.633032;5.991724;0;0;1;3;4;2;1;0;57;7.0;0.0;2.0;-1480.571429;0.0;1455786.135;402324.525;90.315;0.0;11.0;5.0;0.454545;1050768.0;1110033.0;1.056402;3.0;10.0;1.0
114008;1;99000.0;900000.0;23.97;1;1;0;2;0.505998;0.740082;0.535276;9.090909;0;0;1;7;4;3;1;9;51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;754843.5;786375.0;1.041772;2.0;9.0;6.0
29766;4;67500.0;331920.0;36.36;1;1;0;3;0.345717;0.412734;0.639708;4.917333;0;0;0;1;4;2;1;15;42;4.0;0.0;3.0;-1818.0;0.0;702000.0;190746.0;0.0;0.0;3.0;1.0;0.333333;336951.0;349821.0;1.038195;0.0;2.0;0.0
17968;0;135000.0;225000.0;23.1;1;1;0;2;0.505998;0.45307;0.243186;1.666667;1;1;1;1;4;2;5;9;5;3.0;0.0;3.0;-473.666667;0.0;67500.0;75352.5;0.0;0.0;4.0;1.0;0.25;214987.5;223443.0;1.03933;0.0;3.0;0.0
76672;0;270000.0;593010.0;61.69;1;0;0;2;0.505998;0.574664;0.180888;2.196333;0;0;0;3;4;5;1;0;57;16.0;0.0;8.0;-972.375;0.0;2363417.595;724214.475;5694.3;0.0;5.0;1.0;0.2;556200.0;811710.0;1.459385;2.0;4.0;0.0
213391;2;630000.0;1125000.0;45.88;1;1;0;2;0.505998;0.622996;0.332851;1.785714;1;1;1;1;4;2;1;4;38;7.0;0.0;1.0;-623.0;0.0;21320280.0;15477507.0;0.0;0.0;2.0;1.0;0.5;375394.5;415674.0;1.107299;0.0;1.0;0.0
130022;0;180000.0;774000.0;30.7;1;1;0;3;0.369833;0.512841;0.221335;4.3;1;1;0;1;1;4;2;7;5;3.0;0.0;2.0;-431.666667;0.0;904680.0;478998.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
214671;1;112500.0;142200.0;27.96;1;1;0;2;0.505998;0.244008;0.272134;1.264;0;0;1;7;4;2;5;9;55;4.0;0.0;3.0;-862.0;0.0;342189.72;0.0;7200.0;0.0;2.0;0.0;0.0;149998.5;149998.5;1.0;0.0;1.0;1.0
113285;0;256500.0;765000.0;61.57;1;1;0;1;0.505998;0.783828;0.678568;2.982456;0;1;1;1;3;2;4;1;5;4.0;0.0;1.0;-1317.5;0.0;3939750.0;0.0;73057.5;1.0;2.0;0.0;0.0;859680.0;935316.0;1.087982;1.0;2.0;0.0
16848;0;45000.0;454500.0;33.34;1;1;0;2;0.505998;0.142871;0.535276;10.1;0;0;1;7;4;2;1;15;42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.5;202500.0;234576.0;1.1584;0.0;0.0;0.0
135685;0;292500.0;781920.0;61.97;1;0;0;3;0.352553;0.540488;0.535276;2.673231;0;0;1;3;4;2;2;0;57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;113022.0;118989.0;1.052795;0.0;0.0;0.0
177086;0;157500.0;824823.0;64.27;1;0;0;2;0.873912;0.657271;0.403142;5.236971;0;0;1;3;1;2;1;0;57;10.0;0.0;3.0;-1532.6;0.0;1027965.33;106681.5;0.0;0.0;12.0;0.0;0.0;3878181.0;4280139.0;1.103646;6.0;11.0;2.0
46457;0;85500.0;225000.0;65.98;1;0;0;2;0.505998;0.342028;0.535276;2.631579;0;0;1;3;3;1;1;0;57;2.0;0.0;0.0;-1495.0;0.0;160551.0;0.0;0.0;0.0;6.0;0.0;0.0;472500.0;479925.0;1.015714;1.0;5.0;3.0
42614;0;270000.0;755190.0;26.46;1;1;0;3;0.306497;0.708189;0.374021;2.797;1;1;0;1;2;2;1;7;5;2.0;0.0;2.0;-436.0;0.0;1350000.0;1130715.0;0.0;0.0;4.0;0.0;0.0;895455.0;924318.0;1.032233;2.0;3.0;1.0
263111;1;112500.0;503676.0;28.38;1;1;0;3;0.423637;0.344478;0.535276;4.47712;0;0;0;7;1;2;5;15;42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
