teste;epsilon;rotulo;quantidade;percentual;ruido
01;0.25;ruido;396;3.96;True
01;0.25;cluster1;326;3.26;False
01;0.25;cluster2;2085;20.85;False
01;0.25;cluster3;1139;11.39;False
01;0.25;cluster4;4739;47.39;False
01;0.25;cluster5;754;7.54;False
01;0.25;cluster6;464;4.64;False
01;0.25;cluster7;45;0.45;False
01;0.25;cluster8;46;0.46;False
01;0.25;cluster9;6;0.06;False
02;0.274264329676;ruido;296;2.96;True
02;0.274264329676;cluster1;342;3.42;False
02;0.274264329676;cluster2;2099;20.99;False
02;0.274264329676;cluster3;1159;11.59;False
02;0.274264329676;cluster4;4759;47.59;False
02;0.274264329676;cluster5;765;7.65;False
02;0.274264329676;cluster6;477;4.77;False
02;0.274264329676;cluster7;48;0.48;False
02;0.274264329676;cluster8;49;0.49;False
02;0.274264329676;cluster9;6;0.06;False
03;0.30;ruido;217;2.17;True
03;0.30;cluster1;354;3.54;False
03;0.30;cluster2;2107;21.07;False
03;0.30;cluster3;1178;11.78;False
03;0.30;cluster4;4774;47.74;False
03;0.30;cluster5;773;7.73;False
03;0.30;cluster6;488;4.88;False
03;0.30;cluster7;51;0.51;False
03;0.30;cluster8;51;0.51;False
03;0.30;cluster9;7;0.07;False
