K;rotulo;quantidade;percentual
8;cluster1;4406;44.06
8;cluster2;1178;11.78
8;cluster3;585;5.85
8;cluster4;964;9.64
8;cluster5;1293;12.93
8;cluster6;257;2.57
8;cluster7;368;3.68
8;cluster8;949;9.49
9;cluster1;257;2.57
9;cluster2;891;8.91
9;cluster3;4359;43.59
9;cluster4;410;4.10
9;cluster5;1181;11.81
9;cluster6;436;4.36
9;cluster7;1293;12.93
9;cluster8;343;3.43
9;cluster9;830;8.30
10;cluster1;872;8.72
10;cluster2;869;8.69
10;cluster3;2016;20.16
10;cluster4;583;5.83
10;cluster5;1049;10.49
10;cluster6;1057;10.57
10;cluster7;1229;12.29
10;cluster8;878;8.78
10;cluster9;758;7.58
10;cluster10;689;6.89
