K;rotulo;quantidade;percentual
8;cluster1;583;5.83
8;cluster2;846;8.46
8;cluster3;1783;17.83
8;cluster4;1471;14.71
8;cluster5;789;7.89
8;cluster6;1992;19.92
8;cluster7;1143;11.43
8;cluster8;1393;13.93
9;cluster1;583;5.83
9;cluster2;765;7.65
9;cluster3;1582;15.82
9;cluster4;1264;12.64
9;cluster5;775;7.75
9;cluster6;1992;19.92
9;cluster7;1124;11.24
9;cluster8;1390;13.90
9;cluster9;525;5.25
10;cluster1;549;5.49
10;cluster2;590;5.90
10;cluster3;802;8.02
10;cluster4;1249;12.49
10;cluster5;698;6.98
10;cluster6;1987;19.87
10;cluster7;1027;10.27
10;cluster8;1390;13.90
10;cluster9;459;4.59
10;cluster10;1249;12.49
