metodo;cluster;eh_ruido;quantidade;percentual_base;target_0_quantidade;target_1_quantidade;target_1_percentual;posse_carro_quantidade;posse_carro_percentual;name_family_status_cod_moda;name_family_status_cod_moda_frequencia;AMT_CREDIT_media;AMT_CREDIT_mediana;AMT_CREDIT_desvio_padrao;AMT_INCOME_TOTAL_media;AMT_INCOME_TOTAL_mediana;AMT_INCOME_TOTAL_desvio_padrao;CNT_CHILDREN_media;CNT_CHILDREN_mediana;CNT_CHILDREN_desvio_padrao;AGE_YEARS_media;AGE_YEARS_mediana;AGE_YEARS_desvio_padrao;CREDIT_INCOME_RATIO_media;CREDIT_INCOME_RATIO_mediana;CREDIT_INCOME_RATIO_desvio_padrao;REGION_RATING_CLIENT_media;REGION_RATING_CLIENT_mediana;REGION_RATING_CLIENT_desvio_padrao;SER_CREDITOS_ATIVOS_media;SER_CREDITOS_ATIVOS_mediana;SER_CREDITOS_ATIVOS_desvio_padrao;SER_DIVIDA_ATRASADA_media;SER_DIVIDA_ATRASADA_mediana;SER_DIVIDA_ATRASADA_desvio_padrao;distancia_media_centro;distancia_mediana_centro;dispersao_interna_media_quadratica;centro_AMT_CREDIT_TRANSFORMADO;centro_CNT_CHILDREN_TRANSFORMADO;centro_FLAG_OWN_CAR_COD_TRANSFORMADO;centro_AGE_YEARS_TRANSFORMADO;centro_CREDIT_INCOME_RATIO_TRANSFORMADO;centro_SER_CREDITOS_ATIVOS_TRANSFORMADO;possiveis_outliers_iqr;percentual_possiveis_outliers_iqr
dbscan;cluster1;False;342;3.42;313;29;8.47953216374269;342;100.0;2;306;576256.0789473684;521280.0;338565.2599898204;181596.18421052632;162000.0;82215.68834808563;2.0;2.0;0.0;36.381169590643275;35.86;5.5344834566962975;3.4956526257309943;2.8035484999999998;2.1869762924186706;2.08187134502924;2.0;0.501340146351397;1.760233918128655;2.0;1.592080088031197;25.30263157894737;0.0;424.5593883952861;0.40674998213665975;0.3775603423035173;0.19101418605160655;0.36604959667307735;0.800000000000005;1.0;0.714457763349457;0.26036463102047985;0.2315295704256754;30;8.771929824561402
dbscan;cluster2;False;2099;20.990000000000002;1953;146;6.955693187232015;2099;100.0;2;1415;665351.5733682706;562491.0;413146.1453624641;193843.153406384;175500.0;107529.1832134348;0.0;0.0;0.0;44.34502143878037;45.12;11.896863151582881;3.8044390929013816;3.309714;2.3733383376229282;2.019056693663649;2.0;0.5032012544738234;1.8151500714626012;2.0;1.689743386145834;50.92355645545498;0.0;1342.948427332841;0.6389697827566271;0.625703275731015;0.46972310920124666;0.42743876677495757;0.0;1.0;1.0860711626643968;0.28339546831307355;0.2387528793619939;204;9.718913768461173
dbscan;cluster3;False;1159;11.59;1048;111;9.577221742881795;0;0.0;2;770;540113.4046591889;450000.0;353584.5990394539;257152.53494391718;135000.0;3433156.0108573325;1.0;1.0;0.0;37.19921484037964;36.89;7.764534256184448;3.7664149240724756;3.094;2.4644652725330225;2.062985332182916;2.0;0.5260092452009073;1.6574633304572908;1.0;1.6438016045713413;4.993097497842968;0.0;117.86555213733578;0.48266992005287546;0.4604409424764138;0.2709275044355678;0.3411463308655818;0.39999999999999203;0.0;0.7526298165022387;0.2805594358486026;0.21801180453621852;112;9.663503019844693
dbscan;cluster4;False;4759;47.589999999999996;4364;395;8.300063038453457;0;0.0;2;2548;556896.7719058626;481495.5;366200.0039697185;154810.87602437485;135000.0;79744.5684119452;0.0;0.0;0.0;48.09843034250893;50.27;12.507797545860177;3.968239010926664;3.329412;2.5726661431518885;2.0458079428451357;2.0;0.49842413886845327;1.6362681235553689;1.0;1.7322558725916553;90.11202248371507;0.0;3610.390065220841;0.6483483310235564;0.6304680924131845;0.4929386920508739;0.35271051818487076;0.0;0.0;1.261214682198824;0.29561248447686383;0.21522392668739646;475;9.981088463963017
dbscan;cluster5;False;765;7.6499999999999995;704;61;7.973856209150326;765;100.0;2;607;595146.7470588235;521280.0;354942.4259448061;197063.01176470588;180000.0;111199.38897481811;1.0;1.0;0.0;37.0521045751634;36.6;7.529357421637453;3.408106132026144;2.896;2.1826649645154497;2.0758169934640525;2.0;0.49816760355242773;1.8222222222222222;2.0;1.6024450486050124;4.463882352941177;0.0;48.681401484381325;0.4711775031952975;0.44857256691697833;0.25384665708319837;0.37906577044897943;0.39999999999999963;1.0;0.7457652807507461;0.2538349761734593;0.23968310347056662;84;10.980392156862745
dbscan;cluster6;False;477;4.77;436;41;8.59538784067086;0;0.0;2;372;540271.962264151;479637.0;332135.3369740918;151096.55660377358;135000.0;78561.26056500059;2.0;2.0;0.0;35.81096436058701;35.58;5.069873648914148;3.996023993710692;3.160889;2.613973969962149;2.1153039832285114;2.0;0.5034717305375617;1.6918238993710693;1.0;1.616419240853291;61.56603773584906;0.0;1302.5141168203936;0.40640670849603006;0.37791401372372974;0.19115261912585477;0.3412555812810515;0.8000000000000068;0.0;0.6878505501705812;0.29768482729531864;0.2225313673501463;42;8.80503144654088
dbscan;cluster7;False;48;0.48;46;2;4.166666666666666;0;0.0;2;30;341940.84375;273138.75;185467.8045323918;128596.6875;119250.0;58385.28963563028;3.0;3.0;0.0;35.747083333333336;36.595;4.6482162940543175;2.848005;2.5;1.399179169725882;2.0416666666666665;2.0;0.4104140790860576;1.0;1.0;1.0518474122815553;0.0;0.0;0.0;0.2832097172237477;0.2662908872927131;0.09146151094842915;0.2046001549870625;1.200000000000001;0.0;0.684869700433275;0.2120598357105399;0.13153341044116412;9;18.75
dbscan;cluster8;False;49;0.49;43;6;12.244897959183673;49;100.0;2;40;523050.0612244898;521280.0;267269.51348485984;195984.91836734695;180000.0;93944.21793184787;3.0;3.0;0.0;35.967755102040826;35.7;3.9190976136659543;2.883774530612245;2.744186;1.3770169541383817;2.061224489795918;2.0;0.4747000485089735;1.7755102040816326;2.0;1.1948728335832957;0.6428571428571429;0.0;4.5;0.301095557363584;0.28828079652462707;0.10051195517277699;0.3293892324912117;1.200000000000001;1.0;0.6951668013419781;0.21472770599356134;0.23353891241594446;6;12.244897959183673
dbscan;cluster9;False;6;0.06;5;1;16.666666666666664;6;100.0;2;6;1264560.75;1288350.0;68865.97072121325;114750.0;112500.0;10553.435459602717;2.0;2.0;0.0;43.35999999999999;43.285;3.3276778690251856;11.088399833333334;11.452;1.0939222595381108;2.3333333333333335;2.5;0.816496580927726;2.0;2.0;0.8944271909999159;0.0;0.0;0.0;0.18405224511425314;0.18060856792926228;0.03905045371630971;0.8403098587414796;0.7999999999999999;1.0;1.0401075796842723;0.8266696480262704;0.2630668208823282;4;66.66666666666666
dbscan;ruido;True;296;2.96;265;31;10.472972972972974;134;45.27027027027027;2;250;1288126.2162162163;1288350.0;699025.8141033999;211088.08277027027;177750.0;167560.28010041508;1.3074324324324325;1.0;1.2689561286490945;42.801317567567565;41.879999999999995;10.350047799144297;8.018408628378378;6.9859;5.1932837833426175;1.9763513513513513;2.0;0.5904162836492297;3.489864864864865;2.0;3.562502260288118;782.9162331081081;0.0;7696.0054410484845;;;;;;;;;;28;9.45945945945946
