atributo;tipo_pandas;tipo_semantico;tipo_p1_sugerido;quantidade;quantidade_validos;minimo;maximo;media;mediana;moda;rotulo_moda;frequencia_moda;desvio_padrao;variancia;percentil_05;percentil_10;quartil_25;percentil_50;quartil_75;percentil_90;percentil_95;valores_unicos;ausentes;percentual_ausentes;zeros;percentual_zeros;iqr;limite_inferior_iqr;limite_superior_iqr;possiveis_outliers_iqr;percentual_outliers_iqr;criterio_iqr_aplicavel_semanticamente;assimetria
AMT_CREDIT;float64;numérico contínuo;Numérico;10000;10000;45000.0;3600000.0;601382.80305;512721.0;450000.0;;352;405995.9202988456;164832687299.3066;135000.0;180000.0;270000.0;512721.0;810000.0;1147500.0;1350000.0;1815;0;0.0;0;0.0;540000.0;-540000.0;1620000.0;217;2.17;True;1.2708733656691462
AMT_INCOME_TOTAL;float64;numérico contínuo;Numérico;10000;10000;27000.0;117000000.0;180554.0157;148500.0;135000.0;;1148;1172163.5320657226;1373967345904.7903;67500.0;81000.0;112500.0;148500.0;202500.0;270000.0;337500.0;294;0;0.0;0;0.0;90000.0;-22500.0;337500.0;469;4.6899999999999995;True;99.01885686309843
CNT_CHILDREN;int64;numérico discreto;Numérico;10000;10000;0.0;5.0;0.4252;0.0;0.0;;6961;0.7259873730076691;0.5270576657665765;0.0;0.0;0.0;0.0;1.0;2.0;2.0;6;0;0.0;6961;69.61;1.0;-1.5;2.5;160;1.6;True;1.7193199042440008
FLAG_OWN_CAR_COD;int64;nominal binário;Nominal;10000;10000;0.0;1.0;0.3395;0.0;0.0;N;6605;0.47356327583293634;0.22426217621762176;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2;0;0.0;6605;66.05;1.0;-1.5;2.5;0;0.0;False;0.6779753186685733
AGE_YEARS;float64;numérico contínuo;Numérico;10000;10000;21.07;68.99;43.93712000000001;43.14;42.51;;11;12.000187766707805;144.00450643624364;26.009000000000004;28.209000000000003;33.8;43.14;53.9575;60.97;63.54;3959;0;0.0;0;0.0;20.157500000000006;3.563749999999988;84.19375000000001;0;0.0;True;0.12448774407358659
CREDIT_INCOME_RATIO;float64;numérico contínuo;Numérico;10000;10000;0.004808;35.477778;3.9662448384999998;3.2849895;2.0;;161;2.6965810939155523;7.271549596062797;1.0;1.2934726000000003;2.0;3.2849895;5.22945425;7.5;9.286546149999992;4962;0;0.0;0;0.0;3.22945425;-2.844181375;10.073635625;324;3.2399999999999998;True;1.711234680187321
REGION_RATING_CLIENT;int64;ordinal;Ordinal;10000;10000;1.0;3.0;2.0472;2.0;2.0;;7416;0.506159836196016;0.2561977797779778;1.0;1.0;2.0;2.0;2.0;3.0;3.0;3;0;0.0;0;0.0;0.0;2.0;2.0;2584;25.840000000000003;False;0.08346979744508623
SER_CREDITOS_ATIVOS;float64;numérico discreto;Numérico;10000;10000;0.0;17.0;1.7501;1.0;0.0;;2956;1.7985475994109066;3.2347734673467348;0.0;0.0;0.0;1.0;3.0;4.0;5.0;17;0;0.0;2956;29.56;3.0;-4.5;7.5;108;1.08;True;1.4722067309138658
SER_DIVIDA_ATRASADA;float64;numérico contínuo;Numérico;10000;10000;0.0;231135.48;81.47287349999999;0.0;0.0;;9880;2904.0122631112836;8433287.224300718;0.0;0.0;0.0;0.0;0.0;0.0;0.0;88;0;0.0;9880;98.8;0.0;0.0;0.0;120;1.2;True;59.767267516288506
NAME_FAMILY_STATUS_COD;int64;nominal codificado;Nominal;10000;10000;0.0;5.0;2.4309;2.0;2.0;Married;6344;1.030015185872671;1.0609312831283129;1.0;2.0;2.0;2.0;3.0;4.0;5.0;6;0;0.0;1;0.01;1.0;0.5;4.5;540;5.4;False;1.0722382335263554
