metodo;metrica;valor_registrado;valor_recalculado;diferenca_absoluta;status
dbscan;silhouette;0.0859037912776915;0.08590379127769152;1.3877787807814457e-17;OK
dbscan;davies_bouldin;1.855621973727133;1.8556219737271331;2.220446049250313e-16;OK
dbscan;calinski_harabasz;1031.7842332324478;1031.7842332324478;0.0;OK
dbscan;entropia_tamanhos_normalizada;0.6636541548678839;0.6636541548678838;1.1102230246251565e-16;OK
dbscan;menor_cluster;6.0;6.0;0.0;OK
dbscan;maior_cluster;4759.0;4759.0;0.0;OK
dbscan;ruidos;296.0;296.0;0.0;OK
kmeans;silhouette;0.263382438709592;0.263382438709592;0.0;OK
kmeans;davies_bouldin;1.3809713570965798;1.3809713570965798;0.0;OK
kmeans;calinski_harabasz;3106.870162537691;3106.870162537691;0.0;OK
kmeans;entropia_tamanhos_normalizada;0.9601891006880694;0.9601891006880694;0.0;OK
kmeans;menor_cluster;525.0;525.0;0.0;OK
kmeans;maior_cluster;1992.0;1992.0;0.0;OK
kmeans;ruidos;0.0;0.0;0.0;OK
em;silhouette;0.1099362058746262;0.1099362058746262;0.0;OK
em;davies_bouldin;1.5046418205462748;1.5046418205462748;0.0;OK
em;calinski_harabasz;1862.177065056076;1862.1770650560757;2.2737367544323206e-13;OK
em;entropia_tamanhos_normalizada;0.809238375192612;0.8092383751926119;1.1102230246251565e-16;OK
em;menor_cluster;257.0;257.0;0.0;OK
em;maior_cluster;4359.0;4359.0;0.0;OK
em;ruidos;0.0;0.0;0.0;OK
