caminho;nome;formato;linhas_ou_paginas;colunas_ou_tabelas;tamanho_bytes;sha256;finalidade;incluir_moodle
data/amostras/base_amostra_10000_analise.csv;base_amostra_10000_analise.csv;csv;10000;42;2039043;fbc3e8d592bf406b65c93e445f7849a68685eccd7637689344d68a78404a3b22;Amostra oficial reproduzível e rastreável.;SIM
data/amostras/base_amostra_10000_completa.csv;base_amostra_10000_completa.csv;csv;10000;40;1949025;aac7843e20c7f29f10730bc4cc6de057305a8c3867ba63a132f613ff87942fd6;Amostra oficial reproduzível e rastreável.;SIM
data/amostras/metadados_amostra_10000.json;metadados_amostra_10000.json;json;51;n/a;1956;dcbe5ef0e3bcd0dbe450aa7e2b5178c5e26cb1c9879eb91b1fe19be505a1f4ff;Amostra oficial reproduzível e rastreável.;SIM
data/analise/analise_cluster_dbscan.csv;analise_cluster_dbscan.csv;csv;10000;49;2898771;686933b6efecdac05df0de4848240b4db078255fde1368fc411a524080ce5f07;Base mesclada para análise posterior, incluindo TARGET sem formar clusters.;SIM
data/analise/analise_cluster_em.csv;analise_cluster_em.csv;csv;10000;49;2899659;30694af1913206c879582ef19753b0cdfed79e2ef6e10786aaa84fc02481286d;Base mesclada para análise posterior, incluindo TARGET sem formar clusters.;SIM
data/analise/analise_cluster_kmeans.csv;analise_cluster_kmeans.csv;csv;10000;49;2899659;95d4458d71278893196a83e6eaa00bd459b2d92f19fe7693ca20d8a78125da62;Base mesclada para análise posterior, incluindo TARGET sem formar clusters.;SIM
data/clusterizadas_weka/base_clusterizada_dbscan.arff;base_clusterizada_dbscan.arff;arff;10000;7;849003;cdc80359d65a375ac44162931d1eec0678da1f015950effa858ac4367b3be0ce;Exportação ou conversão validada de clusterização do WEKA.;SIM
data/clusterizadas_weka/base_clusterizada_dbscan.csv;base_clusterizada_dbscan.csv;csv;10000;7;859650;4fdd1555fab034836ca74ecb823a7f9d18bf97e0284294e8c08cb72da284416c;Exportação ou conversão validada de clusterização do WEKA.;SIM
data/clusterizadas_weka/base_clusterizada_dbscan_teste_01.arff;base_clusterizada_dbscan_teste_01.arff;arff;10000;7;848293;84883c3786dfb76dbab328b3c2cb5fc582463859596c9ff1f0bce98f8fb948ac;Exportação ou conversão validada de clusterização do WEKA.;SIM
data/clusterizadas_weka/base_clusterizada_dbscan_teste_02.arff;base_clusterizada_dbscan_teste_02.arff;arff;10000;7;849003;cdc80359d65a375ac44162931d1eec0678da1f015950effa858ac4367b3be0ce;Exportação ou conversão validada de clusterização do WEKA.;SIM
data/clusterizadas_weka/base_clusterizada_dbscan_teste_03.arff;base_clusterizada_dbscan_teste_03.arff;arff;10000;7;849545;6b9529fb0c6027f9fc142baf30ab812647e60f400e9245dbca6627793095f576;Exportação ou conversão validada de clusterização do WEKA.;SIM
data/clusterizadas_weka/base_clusterizada_em_final.arff;base_clusterizada_em_final.arff;arff;10000;7;851087;b12d5a07d2aea3f9b47c1eaee9ec87b425d4b3e80ad073cbcde6560aa08b1306;Exportação ou conversão validada de clusterização do WEKA.;SIM
data/clusterizadas_weka/base_clusterizada_em_final.csv;base_clusterizada_em_final.csv;csv;10000;7;850677;05109a8a61e4cd6fd9e91f2faa3a9a16d20b7f173de024b47b3b132de01675d2;Exportação ou conversão validada de clusterização do WEKA.;SIM
data/clusterizadas_weka/base_clusterizada_em_k10.arff;base_clusterizada_em_k10.arff;arff;10000;7;851787;baecf18c6eb870e6b26bcdcc43d9ff5289fce2b6bdc56e46ed378d0aa0b110f4;Exportação ou conversão validada de clusterização do WEKA.;SIM
data/clusterizadas_weka/base_clusterizada_em_k10.csv;base_clusterizada_em_k10.csv;csv;10000;7;851366;9add6eaaa4dd744cbbf13df7082c92486ebc89bc56de54e9241516eb39cbd8a4;Exportação ou conversão validada de clusterização do WEKA.;SIM
data/clusterizadas_weka/base_clusterizada_em_k8.arff;base_clusterizada_em_k8.arff;arff;10000;7;851078;7d2f5002f27795639e93fe388651fa14b00f859cd29d9974b38a2ee1dbf0e898;Exportação ou conversão validada de clusterização do WEKA.;SIM
data/clusterizadas_weka/base_clusterizada_em_k8.csv;base_clusterizada_em_k8.csv;csv;10000;7;850677;63281aa2981495d3581ac7aa456e910db7344d6bdb153f3d89bc47756f893769;Exportação ou conversão validada de clusterização do WEKA.;SIM
data/clusterizadas_weka/base_clusterizada_em_k9.arff;base_clusterizada_em_k9.arff;arff;10000;7;851087;b12d5a07d2aea3f9b47c1eaee9ec87b425d4b3e80ad073cbcde6560aa08b1306;Exportação ou conversão validada de clusterização do WEKA.;SIM
data/clusterizadas_weka/base_clusterizada_em_k9.csv;base_clusterizada_em_k9.csv;csv;10000;7;850677;05109a8a61e4cd6fd9e91f2faa3a9a16d20b7f173de024b47b3b132de01675d2;Exportação ou conversão validada de clusterização do WEKA.;SIM
data/clusterizadas_weka/base_clusterizada_kmeans_final.arff;base_clusterizada_kmeans_final.arff;arff;10000;7;851180;4d806fefcdb44b2459b66401ed0c98615b96373d2439b202b774cd3a594aaceb;Exportação ou conversão validada de clusterização do WEKA.;SIM
data/clusterizadas_weka/base_clusterizada_kmeans_final.csv;base_clusterizada_kmeans_final.csv;csv;10000;7;850677;2f027aa227bbc60d9b474bddd2f30fe1dca2b2b041363790692e02e7ba29df8f;Exportação ou conversão validada de clusterização do WEKA.;SIM
data/clusterizadas_weka/base_clusterizada_kmeans_k10.arff;base_clusterizada_kmeans_k10.arff;arff;10000;7;852440;252881349e9d83b9cfa7f382009ca843054cf4bbfb7c44a6f36dd40581217f59;Exportação ou conversão validada de clusterização do WEKA.;SIM
data/clusterizadas_weka/base_clusterizada_kmeans_k10.csv;base_clusterizada_kmeans_k10.csv;csv;10000;7;851926;d7a4da9c06920e47775a18191ce3be72937a02e41e0be4234804b0e00ede1b2a;Exportação ou conversão validada de clusterização do WEKA.;SIM
data/clusterizadas_weka/base_clusterizada_kmeans_k8.arff;base_clusterizada_kmeans_k8.arff;arff;10000;7;851171;919c19de73369b6d10bdaa8b96dfbbfa4820f89954cc662d41e1a83c9fe5c2dc;Exportação ou conversão validada de clusterização do WEKA.;SIM
