FAIXA_CREDITO__CREDITO_ALTO;FAIXA_CREDITO__CREDITO_BAIXO;FAIXA_CREDITO__CREDITO_MEDIO;FAIXA_CREDITO__CREDITO_MUITO_ALTO;FAIXA_RENDA__RENDA_ALTA;FAIXA_RENDA__RENDA_BAIXA;FAIXA_RENDA__RENDA_MEDIA;FAIXA_RENDA__RENDA_MUITO_ALTA;FAIXA_IDADE__IDADE_21_A_29;FAIXA_IDADE__IDADE_30_A_39;FAIXA_IDADE__IDADE_40_A_49;FAIXA_IDADE__IDADE_50_A_59;FAIXA_IDADE__IDADE_60_OU_MAIS;CATEGORIA_FILHOS__DOIS_OU_MAIS_FILHOS;CATEGORIA_FILHOS__SEM_FILHOS;CATEGORIA_FILHOS__UM_FILHO;POSSE_CARRO__COM_CARRO;POSSE_CARRO__SEM_CARRO;SITUACAO_FAMILIAR__CASADO_OU_UNIAO_CIVIL;SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO;SITUACAO_FAMILIAR__SOLTEIRO;FAIXA_CREDITOS_ATIVOS__SEM_CREDITOS_ATIVOS;FAIXA_CREDITOS_ATIVOS__TRES_OU_MAIS_CREDITOS_ATIVOS;FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ACIMA_25_PCT;FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA
0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0
0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0
0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0
0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1
0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0
0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1
0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1
1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1
1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0
0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1
0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0
0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0
1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;1;0
0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0
1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1
0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;1
1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;1
0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0
1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;1
0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;1
0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;1
1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1
0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1
0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;1
0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1
0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;1;0;0
0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1
0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0
0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1
1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1
1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1
0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1
1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0
0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;1;0
0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0
0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;1
0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0
0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0
1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;1
