"teste";"tipo";"lower_bound_min_support";"upper_bound_min_support";"delta";"num_rules_configurado";"metrica";"min_metric";"suporte_efetivo_reportado";"regras_geradas";"regras_tres_itens";"itemsets";"tempo_weka_segundos";"tempo_total_shell_segundos";"codigo_saida"
"param_autorizado_conviction_c100_s005";"busca_experimental_parametros_autorizados";"0,05";"0,05";"0,01";"30";"conviction (3)";"1";"0,05";"20";"0";"652";"4,335";"5,04";"0"
"param_autorizado_leverage_c001_s005";"busca_experimental_parametros_autorizados";"0,05";"0,05";"0,01";"30";"leverage (2)";"0,01";"0,05";"0";"0";"652";"2,408";"2,808";"0"
"param_autorizado_lift_c000_s001_exploratorio_n2000";"busca_exploratoria_parametros_autorizados";"0,01";"0,01";"0,01";"2000";"lift (1)";"0";"0,01";"1504";"36";"5119";"5,263";;"0"
"param_autorizado_lift_c000_s001_n30";"execucao_obrigatoria_n30_para_validar_candidato";"0,01";"0,01";"0,01";"30";"lift (1)";"0";"0,01";"30";"0";"5119";"5,293";"5,936";"0"
"param_autorizado_lift_c000_s002_exploratorio_n500";"busca_exploratoria_parametros_autorizados";"0,02";"0,02";"0,01";"500";"lift (1)";"0";"0,02";"152";"24";"2358";"2,876";"3,349";"0"
"param_autorizado_lift_c010_s001_exploratorio_n500";"busca_exploratoria_parametros_autorizados";"0,01";"0,01";"0,01";"500";"lift (1)";"0,1";"0,01";"500";"0";"5119";"9,833";"10,539";"0"
"param_autorizado_lift_c010_s002";"busca_experimental_parametros_autorizados";"0,02";"0,02";"0,01";"30";"lift (1)";"0,1";"0,02";"30";"6";"2358";"4,36";"4,876";"0"
"param_autorizado_lift_c010_s002_exploratorio_n500";"busca_exploratoria_parametros_autorizados";"0,02";"0,02";"0,01";"500";"lift (1)";"0,1";"0,02";"152";"24";"2358";"3,844";"4,347";"0"
"param_autorizado_lift_c010_s005";"busca_experimental_parametros_autorizados";"0,05";"0,05";"0,01";"30";"lift (1)";"0,1";"0,05";"30";"0";"652";"2,323";"2,886";"0"
"param_autorizado_lift_c030_s005";"busca_experimental_parametros_autorizados";"0,05";"0,05";"0,01";"30";"lift (1)";"0,3";"0,05";"30";"0";"652";"2,232";"2,739";"0"
"param_autorizado_lift_c050_s005";"busca_experimental_parametros_autorizados";"0,05";"0,05";"0,01";"30";"lift (1)";"0,5";"0,05";"30";"0";"652";"2,019";"2,703";"0"
"suporte_001_exploratorio_n1000";"busca_exploratoria_nao_final";"0,01";"0,02";"0,01";"1000";"confidence (0)";"0,9";"0,01";"361";"2";"5119";"4,37";"5,581";
"suporte_001_exploratorio_n200";"busca_exploratoria_nao_final";"0,01";"0,02";"0,01";"200";"confidence (0)";"0,9";"0,01";"200";"1";"5119";"4,778";"5,628";
"suporte_002_exploratorio_n200";"busca_exploratoria_nao_final";"0,02";"0,03";"0,01";"200";"confidence (0)";"0,9";"0,02";"107";"13";"2358";"4,288";"5,125";
"suporte_003";"busca_experimental";"0,03";"1,0";"0,01";"30";"confidence (0)";"0,9";"0,05";"9";"4";"652";"2,887";"3,705";
"suporte_0039_delta_001";"busca_experimental";"0,039";"1,0";"0,01";"30";"confidence (0)";"0,9";"0,05";"9";"4";"652";"1,678";"2,133";
"suporte_004";"busca_experimental";"0,04";"1,0";"0,05";"30";"confidence (0)";"0,9";"0,09";"9";"4";"652";"0,679";"2,434";
"suporte_004_delta_001";"busca_experimental";"0,04";"1,0";"0,01";"30";"confidence (0)";"0,9";"0,05";"9";"4";"652";"1,966";"2,585";
"suporte_005";"busca_experimental";"0,05";"1,0";"0,05";"30";"confidence (0)";"0,9";"0,05";"9";"4";"652";"0,477";"0,842";
"suporte_0075";"busca_experimental";"0,075";"1,0";"0,05";"30";"confidence (0)";"0,9";"0,07";"9";"4";"340";"0,507";"0,749";
"suporte_010";"busca_experimental";"0,1";"1,0";"0,05";"30";"confidence (0)";"0,9";"0,1";"7";"4";"221";"0,416";"0,704";
"suporte_015";"busca_experimental";"0,15";"1,0";"0,05";"30";"confidence (0)";"0,9";"0,15";"1";"0";"104";"0,383";"0,703";
