id_regra;antecedente;consequente;itens_antecedente;itens_consequente;total_itens;suporte;confianca;lift;leverage;conviction;itemset_uniao;suporte_itemset_absoluto;suporte_itemset_relativo
1;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS;POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;2;3;5;0.010000;0.12;4.26;0.01;1.11;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;100;0.010000
2;POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS;3;2;5;0.010000;0.35;4.26;0.01;1.4;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;100;0.010000
3;POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;2;3;5;0.010000;0.24;4.14;0.01;1.24;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;100;0.010000
4;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO;3;2;5;0.010000;0.17;4.14;0.01;1.15;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;100;0.010000
5;FAIXA_IDADE__IDADE_21_A_29 + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO;2;3;5;0.010000;0.12;3.38;0.01;1.09;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;100;0.010000
6;CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO;FAIXA_IDADE__IDADE_21_A_29 + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;3;2;5;0.010000;0.28;3.38;0.01;1.28;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;100;0.010000
7;FAIXA_IDADE__IDADE_60_OU_MAIS + POSSE_CARRO__SEM_CARRO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;CATEGORIA_FILHOS__SEM_FILHOS + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;3;3;6;0.010000;0.22;3.37;0.01;1.19;FAIXA_IDADE__IDADE_60_OU_MAIS + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;100;0.010000
8;CATEGORIA_FILHOS__SEM_FILHOS + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;FAIXA_IDADE__IDADE_60_OU_MAIS + POSSE_CARRO__SEM_CARRO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;3;3;6;0.010000;0.16;3.37;0.01;1.13;FAIXA_IDADE__IDADE_60_OU_MAIS + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;100;0.010000
9;FAIXA_IDADE__IDADE_21_A_29;CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;1;4;5;0.010000;0.08;3.3;0.01;1.06;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;100;0.010000
10;CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;FAIXA_IDADE__IDADE_21_A_29;4;1;5;0.010000;0.4;3.3;0.01;1.46;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;100;0.010000
11;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;SITUACAO_FAMILIAR__SOLTEIRO;4;1;5;0.010000;0.49;3.27;0.01;1.65;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;100;0.010000
12;SITUACAO_FAMILIAR__SOLTEIRO;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;1;4;5;0.010000;0.07;3.27;0.01;1.05;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;100;0.010000
13;SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO;2;3;5;0.010000;0.1;3.24;0.01;1.07;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;100;0.010000
14;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO;SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;3;2;5;0.010000;0.34;3.24;0.01;1.35;FAIXA_IDADE__IDADE_21_A_29 + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;100;0.010000
15;FAIXA_IDADE__IDADE_60_OU_MAIS + POSSE_CARRO__SEM_CARRO + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;CATEGORIA_FILHOS__SEM_FILHOS + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;3;3;6;0.010000;0.13;3.23;0.01;1.1;FAIXA_IDADE__IDADE_60_OU_MAIS + CATEGORIA_FILHOS__SEM_FILHOS + POSSE_CARRO__SEM_CARRO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;100;0.010000
