atributo;categoria;quantidade;percentual;menor_categoria_atributo;maior_categoria_atributo;razao_maior_menor;menos_de_1_pct;menos_de_5_pct
AMT_CREDIT;CREDITO_BAIXO;2555;25.550000;2445;2555;1.044990;False;False
AMT_CREDIT;CREDITO_ALTO;2518;25.180000;2445;2555;1.044990;False;False
AMT_CREDIT;CREDITO_MUITO_ALTO;2482;24.820000;2445;2555;1.044990;False;False
AMT_CREDIT;CREDITO_MEDIO;2445;24.450000;2445;2555;1.044990;False;False
AMT_INCOME_TOTAL;RENDA_BAIXA;3279;32.790000;1739;3279;1.885566;False;False
AMT_INCOME_TOTAL;RENDA_ALTA;2588;25.880000;1739;3279;1.885566;False;False
AMT_INCOME_TOTAL;RENDA_MUITO_ALTA;2394;23.940000;1739;3279;1.885566;False;False
AMT_INCOME_TOTAL;RENDA_MEDIA;1739;17.390000;1739;3279;1.885566;False;False
AGE_YEARS;IDADE_30_A_39;2660;26.600000;1218;2660;2.183908;False;False
AGE_YEARS;IDADE_40_A_49;2526;25.260000;1218;2660;2.183908;False;False
AGE_YEARS;IDADE_50_A_59;2178;21.780000;1218;2660;2.183908;False;False
AGE_YEARS;IDADE_60_OU_MAIS;1418;14.180000;1218;2660;2.183908;False;False
AGE_YEARS;IDADE_21_A_29;1218;12.180000;1218;2660;2.183908;False;False
CNT_CHILDREN;SEM_FILHOS;6961;69.610000;1034;6961;6.732108;False;False
CNT_CHILDREN;UM_FILHO;2005;20.050000;1034;6961;6.732108;False;False
CNT_CHILDREN;DOIS_OU_MAIS_FILHOS;1034;10.340000;1034;6961;6.732108;False;False
FLAG_OWN_CAR_COD;SEM_CARRO;6605;66.050000;3395;6605;1.945508;False;False
FLAG_OWN_CAR_COD;COM_CARRO;3395;33.950000;3395;6605;1.945508;False;False
NAME_FAMILY_STATUS_COD;CASADO_OU_UNIAO_CIVIL;7304;73.040000;1198;7304;6.096828;False;False
NAME_FAMILY_STATUS_COD;SOLTEIRO;1498;14.980000;1198;7304;6.096828;False;False
NAME_FAMILY_STATUS_COD;SEPARADO_VIUVO_OU_NAO_INFORMADO;1198;11.980000;1198;7304;6.096828;False;False
SER_CREDITOS_ATIVOS;UM_A_DOIS_CREDITOS_ATIVOS;4346;43.460000;2698;4346;1.610823;False;False
SER_CREDITOS_ATIVOS;SEM_CREDITOS_ATIVOS;2956;29.560000;2698;4346;1.610823;False;False
SER_CREDITOS_ATIVOS;TRES_OU_MAIS_CREDITOS_ATIVOS;2698;26.980000;2698;4346;1.610823;False;False
PREV_TAXA_REJEICAO;SEM_REJEICAO_PREVIA;6771;67.710000;1527;6771;4.434185;False;False
PREV_TAXA_REJEICAO;REJEICAO_PREVIA_ACIMA_25_PCT;1702;17.020000;1527;6771;4.434185;False;False
PREV_TAXA_REJEICAO;REJEICAO_PREVIA_ATE_25_PCT;1527;15.270000;1527;6771;4.434185;False;False
