atributo_original;categoria;coluna_binaria;quantidade;percentual
FAIXA_CREDITO;CREDITO_ALTO;FAIXA_CREDITO__CREDITO_ALTO;2518;25.180000
FAIXA_CREDITO;CREDITO_BAIXO;FAIXA_CREDITO__CREDITO_BAIXO;2555;25.550000
FAIXA_CREDITO;CREDITO_MEDIO;FAIXA_CREDITO__CREDITO_MEDIO;2445;24.450000
FAIXA_CREDITO;CREDITO_MUITO_ALTO;FAIXA_CREDITO__CREDITO_MUITO_ALTO;2482;24.820000
FAIXA_RENDA;RENDA_ALTA;FAIXA_RENDA__RENDA_ALTA;2588;25.880000
FAIXA_RENDA;RENDA_BAIXA;FAIXA_RENDA__RENDA_BAIXA;3279;32.790000
FAIXA_RENDA;RENDA_MEDIA;FAIXA_RENDA__RENDA_MEDIA;1739;17.390000
FAIXA_RENDA;RENDA_MUITO_ALTA;FAIXA_RENDA__RENDA_MUITO_ALTA;2394;23.940000
FAIXA_IDADE;IDADE_21_A_29;FAIXA_IDADE__IDADE_21_A_29;1218;12.180000
FAIXA_IDADE;IDADE_30_A_39;FAIXA_IDADE__IDADE_30_A_39;2660;26.600000
FAIXA_IDADE;IDADE_40_A_49;FAIXA_IDADE__IDADE_40_A_49;2526;25.260000
FAIXA_IDADE;IDADE_50_A_59;FAIXA_IDADE__IDADE_50_A_59;2178;21.780000
FAIXA_IDADE;IDADE_60_OU_MAIS;FAIXA_IDADE__IDADE_60_OU_MAIS;1418;14.180000
CATEGORIA_FILHOS;DOIS_OU_MAIS_FILHOS;CATEGORIA_FILHOS__DOIS_OU_MAIS_FILHOS;1034;10.340000
CATEGORIA_FILHOS;SEM_FILHOS;CATEGORIA_FILHOS__SEM_FILHOS;6961;69.610000
CATEGORIA_FILHOS;UM_FILHO;CATEGORIA_FILHOS__UM_FILHO;2005;20.050000
POSSE_CARRO;COM_CARRO;POSSE_CARRO__COM_CARRO;3395;33.950000
POSSE_CARRO;SEM_CARRO;POSSE_CARRO__SEM_CARRO;6605;66.050000
SITUACAO_FAMILIAR;CASADO_OU_UNIAO_CIVIL;SITUACAO_FAMILIAR__CASADO_OU_UNIAO_CIVIL;7304;73.040000
SITUACAO_FAMILIAR;SEPARADO_VIUVO_OU_NAO_INFORMADO;SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO;1198;11.980000
SITUACAO_FAMILIAR;SOLTEIRO;SITUACAO_FAMILIAR__SOLTEIRO;1498;14.980000
FAIXA_CREDITOS_ATIVOS;SEM_CREDITOS_ATIVOS;FAIXA_CREDITOS_ATIVOS__SEM_CREDITOS_ATIVOS;2956;29.560000
FAIXA_CREDITOS_ATIVOS;TRES_OU_MAIS_CREDITOS_ATIVOS;FAIXA_CREDITOS_ATIVOS__TRES_OU_MAIS_CREDITOS_ATIVOS;2698;26.980000
FAIXA_CREDITOS_ATIVOS;UM_A_DOIS_CREDITOS_ATIVOS;FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;4346;43.460000
FAIXA_TAXA_REJEICAO;REJEICAO_PREVIA_ACIMA_25_PCT;FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ACIMA_25_PCT;1702;17.020000
FAIXA_TAXA_REJEICAO;REJEICAO_PREVIA_ATE_25_PCT;FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;1527;15.270000
FAIXA_TAXA_REJEICAO;SEM_REJEICAO_PREVIA;FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;6771;67.710000
