atributo;tipo;minimo;maximo;media;mediana;moda;p05;p10;p25;p50;p75;p90;p95;p99;valores_unicos;ausentes;zeros;percentual_zeros;assimetria;outliers_iqr;percentual_outliers_iqr;categoria_dominante;frequencia_dominante;concentracao_dominante_pct
AMT_CREDIT;NUMERICO;45000.000000;3600000.000000;601382.803050;512721.000000;450000.0;135000.000000;180000.000000;270000.000000;512721.000000;810000.000000;1147500.000000;1350000.000000;1886850.000000;1815;0;0;0.000000;1.270873;217.000000;2.170000;450000.0;352;3.520000
AMT_INCOME_TOTAL;NUMERICO;27000.000000;117000000.000000;180554.015700;148500.000000;135000.0;67500.000000;81000.000000;112500.000000;148500.000000;202500.000000;270000.000000;337500.000000;459135.000000;294;0;0;0.000000;99.018857;469.000000;4.690000;135000.0;1148;11.480000
AGE_YEARS;NUMERICO;21.070000;68.990000;43.937120;43.140000;42.51;26.009000;28.209000;33.800000;43.140000;53.957500;60.970000;63.540000;66.830400;3959;0;0;0.000000;0.124488;0.000000;0.000000;42.51;11;0.110000
CNT_CHILDREN;NUMERICO;0.000000;5.000000;0.425200;0.000000;0;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;2.000000;3.000000;6;0;6961;69.610000;1.719320;160.000000;1.600000;0;6961;69.610000
FLAG_OWN_CAR_COD;CATEGORICO;;;;;SEM_CARRO;;;;;;;;;2;0;6605;66.050000;;;;SEM_CARRO;6605;66.050000
NAME_FAMILY_STATUS_COD;CATEGORICO;;;;;Married;;;;;;;;;6;0;1;0.010000;;;;Married;6344;63.440000
CREDIT_INCOME_RATIO;NUMERICO;0.004808;35.477778;3.966245;3.284990;2.0;1.000000;1.293473;2.000000;3.284990;5.229454;7.500000;9.286546;13.027621;4962;0;0;0.000000;1.711235;324.000000;3.240000;2.0;161;1.610000
REGION_RATING_CLIENT;CATEGORICO;;;;;REGIAO_RATING_2;;;;;;;;;3;0;0;0.000000;;;;REGIAO_RATING_2;7416;74.160000
SER_CREDITOS_ATIVOS;NUMERICO;0.000000;17.000000;1.750100;1.000000;0.0;0.000000;0.000000;0.000000;1.000000;3.000000;4.000000;5.000000;8.000000;17;0;2956;29.560000;1.472207;108.000000;1.080000;0.0;2956;29.560000
SER_QTDE_EMPRESTIMOS;NUMERICO;0.000000;47.000000;4.734400;4.000000;0.0;0.000000;0.000000;1.000000;4.000000;7.000000;11.000000;13.000000;19.000000;36;0;1386;13.860000;1.619959;208.000000;2.080000;0.0;1386;13.860000
PREV_QTDE_TENTATIVAS;NUMERICO;0.000000;67.000000;4.539300;3.000000;1.0;0.000000;1.000000;2.000000;3.000000;6.000000;10.000000;13.000000;19.000000;37;0;555;5.550000;2.406302;501.000000;5.010000;1.0;1748;17.480000
PREV_TAXA_REJEICAO;NUMERICO;0.000000;1.000000;0.103730;0.000000;0.0;0.000000;0.000000;0.000000;0.000000;0.168479;0.384615;0.500000;0.714286;133;0;6771;67.710000;1.809534;828.000000;8.280000;0.0;6771;67.710000
SER_DIVIDA_ATRASADA;NUMERICO;0.000000;231135.480000;81.472873;0.000000;0.0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;22.545000;88;0;9880;98.800000;59.767268;120.000000;1.200000;0.0;9880;98.800000
