atributo;codigo;categoria;frequencia;percentual;dominante
FLAG_OWN_CAR_COD;0;SEM_CARRO;6605;66.050000;True
FLAG_OWN_CAR_COD;1;COM_CARRO;3395;33.950000;False
NAME_FAMILY_STATUS_COD;2;Married;6344;63.440000;True
NAME_FAMILY_STATUS_COD;4;Single / not married;1498;14.980000;False
NAME_FAMILY_STATUS_COD;1;Civil marriage;960;9.600000;False
NAME_FAMILY_STATUS_COD;3;Separated;658;6.580000;False
NAME_FAMILY_STATUS_COD;5;Widow;539;5.390000;False
NAME_FAMILY_STATUS_COD;0;Unknown;1;0.010000;False
REGION_RATING_CLIENT;2;REGIAO_RATING_2;7416;74.160000;True
REGION_RATING_CLIENT;3;REGIAO_RATING_3;1528;15.280000;False
REGION_RATING_CLIENT;1;REGIAO_RATING_1;1056;10.560000;False
