Posição;Antecedente;Consequente;Suporte;Confiança;Lift;Leverage;Conviction
1;FAIXA_IDADE__IDADE_60_OU_MAIS + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;0.010000;0.17;1.11;0;1.02
2;FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;FAIXA_IDADE__IDADE_60_OU_MAIS + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;0.010000;0.07;1.11;0;1.01
3;FAIXA_CREDITO__CREDITO_MUITO_ALTO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO;FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;0.010000;0.48;1.1;0;1.07
4;FAIXA_RENDA__RENDA_ALTA + SITUACAO_FAMILIAR__SOLTEIRO;FAIXA_CREDITO__CREDITO_MEDIO;0.010000;0.27;1.1;0;1.03
5;FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;FAIXA_IDADE__IDADE_60_OU_MAIS;0.010000;0.16;1.1;0;1.02
6;FAIXA_IDADE__IDADE_60_OU_MAIS;FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;0.010000;0.07;1.1;0;1.01
7;FAIXA_CREDITO__CREDITO_MEDIO;FAIXA_RENDA__RENDA_ALTA + SITUACAO_FAMILIAR__SOLTEIRO;0.010000;0.04;1.1;0;1
8;FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;FAIXA_CREDITO__CREDITO_MUITO_ALTO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO;0.010000;0.02;1.1;0;1
9;FAIXA_IDADE__IDADE_30_A_39 + FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;FAIXA_RENDA__RENDA_MUITO_ALTA;0.010000;0.26;1.07;0;1.02
10;FAIXA_RENDA__RENDA_MUITO_ALTA;FAIXA_IDADE__IDADE_30_A_39 + FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;0.010000;0.04;1.07;0;1
11;FAIXA_CREDITO__CREDITO_MEDIO + FAIXA_RENDA__RENDA_ALTA;SITUACAO_FAMILIAR__SOLTEIRO;0.010000;0.16;1.05;0;1.01
12;SITUACAO_FAMILIAR__SOLTEIRO;FAIXA_CREDITO__CREDITO_MEDIO + FAIXA_RENDA__RENDA_ALTA;0.010000;0.07;1.05;0;1
13;POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO;FAIXA_CREDITO__CREDITO_MEDIO;0.010000;0.24;0.99;-0;0.99
14;FAIXA_CREDITO__CREDITO_MEDIO;POSSE_CARRO__COM_CARRO + SITUACAO_FAMILIAR__SOLTEIRO;0.010000;0.04;0.99;-0;1
15;FAIXA_IDADE__IDADE_21_A_29 + FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;SITUACAO_FAMILIAR__CASADO_OU_UNIAO_CIVIL;0.010000;0.71;0.98;-0;0.92
16;SITUACAO_FAMILIAR__CASADO_OU_UNIAO_CIVIL;FAIXA_IDADE__IDADE_21_A_29 + FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;0.010000;0.01;0.98;-0;1
17;FAIXA_CREDITO__CREDITO_MEDIO + SITUACAO_FAMILIAR__SOLTEIRO;FAIXA_RENDA__RENDA_ALTA;0.010000;0.25;0.97;-0;0.99
18;FAIXA_RENDA__RENDA_ALTA;FAIXA_CREDITO__CREDITO_MEDIO + SITUACAO_FAMILIAR__SOLTEIRO;0.010000;0.04;0.97;-0;1
19;FAIXA_RENDA__RENDA_MUITO_ALTA + FAIXA_IDADE__IDADE_30_A_39;FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;0.010000;0.15;0.95;-0;0.99
20;FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;FAIXA_RENDA__RENDA_MUITO_ALTA + FAIXA_IDADE__IDADE_30_A_39;0.010000;0.07;0.95;-0;1
