atributo;categoria;limite_inferior;limite_superior;quantidade_esperada;quantidade_encontrada;percentual;status
FAIXA_CREDITO;CREDITO_ALTO;Conforme proposta aprovada;Conforme proposta aprovada;2518;2518;0.251800;ATENDIDO_COM_RESSALVA
FAIXA_CREDITO;CREDITO_BAIXO;Conforme proposta aprovada;Conforme proposta aprovada;2555;2555;0.255500;ATENDIDO_COM_RESSALVA
FAIXA_CREDITO;CREDITO_MEDIO;Conforme proposta aprovada;Conforme proposta aprovada;2445;2445;0.244500;ATENDIDO_COM_RESSALVA
FAIXA_CREDITO;CREDITO_MUITO_ALTO;Conforme proposta aprovada;Conforme proposta aprovada;2482;2482;0.248200;ATENDIDO_COM_RESSALVA
FAIXA_RENDA;RENDA_ALTA;Conforme proposta aprovada;Conforme proposta aprovada;2588;2588;0.258800;ATENDIDO_COM_RESSALVA
FAIXA_RENDA;RENDA_BAIXA;Conforme proposta aprovada;Conforme proposta aprovada;3279;3279;0.327900;ATENDIDO_COM_RESSALVA
FAIXA_RENDA;RENDA_MEDIA;Conforme proposta aprovada;Conforme proposta aprovada;1739;1739;0.173900;ATENDIDO_COM_RESSALVA
FAIXA_RENDA;RENDA_MUITO_ALTA;Conforme proposta aprovada;Conforme proposta aprovada;2394;2394;0.239400;ATENDIDO_COM_RESSALVA
FAIXA_IDADE;IDADE_21_A_29;Conforme proposta aprovada;Conforme proposta aprovada;1218;1218;0.121800;ATENDIDO_COM_RESSALVA
FAIXA_IDADE;IDADE_30_A_39;Conforme proposta aprovada;Conforme proposta aprovada;2660;2660;0.266000;ATENDIDO_COM_RESSALVA
FAIXA_IDADE;IDADE_40_A_49;Conforme proposta aprovada;Conforme proposta aprovada;2526;2526;0.252600;ATENDIDO_COM_RESSALVA
FAIXA_IDADE;IDADE_50_A_59;Conforme proposta aprovada;Conforme proposta aprovada;2178;2178;0.217800;ATENDIDO_COM_RESSALVA
FAIXA_IDADE;IDADE_60_OU_MAIS;Conforme proposta aprovada;Conforme proposta aprovada;1418;1418;0.141800;ATENDIDO_COM_RESSALVA
CATEGORIA_FILHOS;DOIS_OU_MAIS_FILHOS;Conforme proposta aprovada;Conforme proposta aprovada;1034;1034;0.103400;ATENDIDO_COM_RESSALVA
CATEGORIA_FILHOS;SEM_FILHOS;Conforme proposta aprovada;Conforme proposta aprovada;6961;6961;0.696100;ATENDIDO_COM_RESSALVA
CATEGORIA_FILHOS;UM_FILHO;Conforme proposta aprovada;Conforme proposta aprovada;2005;2005;0.200500;ATENDIDO_COM_RESSALVA
POSSE_CARRO;COM_CARRO;Conforme proposta aprovada;Conforme proposta aprovada;3395;3395;0.339500;ATENDIDO_COM_RESSALVA
POSSE_CARRO;SEM_CARRO;Conforme proposta aprovada;Conforme proposta aprovada;6605;6605;0.660500;ATENDIDO_COM_RESSALVA
SITUACAO_FAMILIAR;CASADO_OU_UNIAO_CIVIL;Conforme proposta aprovada;Conforme proposta aprovada;7304;7304;0.730400;ATENDIDO_COM_RESSALVA
SITUACAO_FAMILIAR;SEPARADO_VIUVO_OU_NAO_INFORMADO;Conforme proposta aprovada;Conforme proposta aprovada;1198;1198;0.119800;ATENDIDO_COM_RESSALVA
SITUACAO_FAMILIAR;SOLTEIRO;Conforme proposta aprovada;Conforme proposta aprovada;1498;1498;0.149800;ATENDIDO_COM_RESSALVA
FAIXA_CREDITOS_ATIVOS;SEM_CREDITOS_ATIVOS;Conforme proposta aprovada;Conforme proposta aprovada;2956;2956;0.295600;ATENDIDO_COM_RESSALVA
FAIXA_CREDITOS_ATIVOS;TRES_OU_MAIS_CREDITOS_ATIVOS;Conforme proposta aprovada;Conforme proposta aprovada;2698;2698;0.269800;ATENDIDO_COM_RESSALVA
FAIXA_CREDITOS_ATIVOS;UM_A_DOIS_CREDITOS_ATIVOS;Conforme proposta aprovada;Conforme proposta aprovada;4346;4346;0.434600;ATENDIDO_COM_RESSALVA
FAIXA_TAXA_REJEICAO;REJEICAO_PREVIA_ACIMA_25_PCT;Conforme proposta aprovada;Conforme proposta aprovada;1702;1702;0.170200;ATENDIDO_COM_RESSALVA
FAIXA_TAXA_REJEICAO;REJEICAO_PREVIA_ATE_25_PCT;Conforme proposta aprovada;Conforme proposta aprovada;1527;1527;0.152700;ATENDIDO_COM_RESSALVA
FAIXA_TAXA_REJEICAO;SEM_REJEICAO_PREVIA;Conforme proposta aprovada;Conforme proposta aprovada;6771;6771;0.677100;ATENDIDO_COM_RESSALVA
