categoria;coluna_binaria;frequencia_nominal;frequencia_binaria;status
CREDITO_ALTO;FAIXA_CREDITO__CREDITO_ALTO;2518;2518;ATENDIDO
CREDITO_BAIXO;FAIXA_CREDITO__CREDITO_BAIXO;2555;2555;ATENDIDO
CREDITO_MEDIO;FAIXA_CREDITO__CREDITO_MEDIO;2445;2445;ATENDIDO
CREDITO_MUITO_ALTO;FAIXA_CREDITO__CREDITO_MUITO_ALTO;2482;2482;ATENDIDO
RENDA_ALTA;FAIXA_RENDA__RENDA_ALTA;2588;2588;ATENDIDO
RENDA_BAIXA;FAIXA_RENDA__RENDA_BAIXA;3279;3279;ATENDIDO
RENDA_MEDIA;FAIXA_RENDA__RENDA_MEDIA;1739;1739;ATENDIDO
RENDA_MUITO_ALTA;FAIXA_RENDA__RENDA_MUITO_ALTA;2394;2394;ATENDIDO
IDADE_21_A_29;FAIXA_IDADE__IDADE_21_A_29;1218;1218;ATENDIDO
IDADE_30_A_39;FAIXA_IDADE__IDADE_30_A_39;2660;2660;ATENDIDO
IDADE_40_A_49;FAIXA_IDADE__IDADE_40_A_49;2526;2526;ATENDIDO
IDADE_50_A_59;FAIXA_IDADE__IDADE_50_A_59;2178;2178;ATENDIDO
IDADE_60_OU_MAIS;FAIXA_IDADE__IDADE_60_OU_MAIS;1418;1418;ATENDIDO
DOIS_OU_MAIS_FILHOS;CATEGORIA_FILHOS__DOIS_OU_MAIS_FILHOS;1034;1034;ATENDIDO
SEM_FILHOS;CATEGORIA_FILHOS__SEM_FILHOS;6961;6961;ATENDIDO
UM_FILHO;CATEGORIA_FILHOS__UM_FILHO;2005;2005;ATENDIDO
COM_CARRO;POSSE_CARRO__COM_CARRO;3395;3395;ATENDIDO
SEM_CARRO;POSSE_CARRO__SEM_CARRO;6605;6605;ATENDIDO
CASADO_OU_UNIAO_CIVIL;SITUACAO_FAMILIAR__CASADO_OU_UNIAO_CIVIL;7304;7304;ATENDIDO
SEPARADO_VIUVO_OU_NAO_INFORMADO;SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO;1198;1198;ATENDIDO
SOLTEIRO;SITUACAO_FAMILIAR__SOLTEIRO;1498;1498;ATENDIDO
SEM_CREDITOS_ATIVOS;FAIXA_CREDITOS_ATIVOS__SEM_CREDITOS_ATIVOS;2956;2956;ATENDIDO
TRES_OU_MAIS_CREDITOS_ATIVOS;FAIXA_CREDITOS_ATIVOS__TRES_OU_MAIS_CREDITOS_ATIVOS;2698;2698;ATENDIDO
UM_A_DOIS_CREDITOS_ATIVOS;FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;4346;4346;ATENDIDO
REJEICAO_PREVIA_ACIMA_25_PCT;FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ACIMA_25_PCT;1702;1702;ATENDIDO
REJEICAO_PREVIA_ATE_25_PCT;FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;1527;1527;ATENDIDO
SEM_REJEICAO_PREVIA;FAIXA_TAXA_REJEICAO__SEM_REJEICAO_PREVIA;6771;6771;ATENDIDO
