posicao;total_itens;suporte_recalculado;confianca_recalculada;lift_recalculado;status
1;3;0.010000;0.169205;1.108086;ATENDIDO
2;3;0.010000;0.065488;1.108086;ATENDIDO
3;3;0.010000;0.476190;1.095698;ATENDIDO
4;3;0.010000;0.269542;1.102420;ATENDIDO
5;3;0.010000;0.156250;1.101904;ATENDIDO
6;3;0.010000;0.070522;1.101904;ATENDIDO
7;3;0.010000;0.040900;1.102420;ATENDIDO
8;3;0.010000;0.023010;1.095698;ATENDIDO
9;3;0.010000;0.255102;1.065589;ATENDIDO
10;3;0.010000;0.041771;1.065589;ATENDIDO
11;3;0.010000;0.156986;1.047970;ATENDIDO
12;3;0.010000;0.066756;1.047970;ATENDIDO
13;3;0.010000;0.241546;0.987918;ATENDIDO
14;3;0.010000;0.040900;0.987918;ATENDIDO
15;3;0.010000;0.714286;0.977938;ATENDIDO
16;3;0.010000;0.013691;0.977938;ATENDIDO
17;3;0.010000;0.251256;0.970851;ATENDIDO
18;3;0.010000;0.038640;0.970851;ATENDIDO
19;3;0.010000;0.145138;0.950477;ATENDIDO
20;3;0.010000;0.065488;0.950477;ATENDIDO
