tentativa;lowerBoundMinSupport;numRules;regras_retornadas;regras_tres_itens;itemsets;tempo_weka_segundos;status
suporte_050;0.5;30;0;0;0;0.291;ATENDIDO
suporte_040;0.4;30;0;0;11;0.267;ATENDIDO
suporte_030;0.3;30;0;0;20;0.232;ATENDIDO
suporte_025;0.25;30;0;0;30;0.285;ATENDIDO
suporte_020;0.2;30;1;0;54;0.388;ATENDIDO
suporte_015;0.15;30;1;0;104;0.383;ATENDIDO
suporte_010;0.1;30;7;4;221;0.416;ATENDIDO
suporte_0075;0.075;30;9;4;340;0.507;ATENDIDO
suporte_005;0.05;30;9;4;652;0.477;ATENDIDO
suporte_004;0.04;30;9;4;652;0.679;ATENDIDO
suporte_004_delta_001;0.04;30;9;4;652;1.966;ATENDIDO
suporte_0039_delta_001;0.039;30;9;4;652;1.678;ATENDIDO
suporte_003;0.03;30;9;4;652;2.887;ATENDIDO
suporte_exato_004;0.04;30;0;0;909;1.964;ATENDIDO
suporte_janela_005_004;0.04;30;9;2;909;2.049;ATENDIDO
suporte_janela_004_003;0.03;30;9;2;1402;2.007;ATENDIDO
suporte_janela_003_002;0.02;30;30;4;2358;2.383;ATENDIDO
suporte_002_exploratorio_n200;0.02;200;107;13;2358;4.288;ATENDIDO
suporte_janela_002_001;0.01;30;30;0;5119;4.672;ATENDIDO
suporte_001_exploratorio_n200;0.01;200;200;1;5119;4.778;ATENDIDO
suporte_001_exploratorio_n1000;0.01;1000;361;2;5119;4.37;ATENDIDO
param_autorizado_lift_c050_s005;0.05;30;30;0;652;2.019;ATENDIDO
param_autorizado_lift_c030_s005;0.05;30;30;0;652;2.232;ATENDIDO
param_autorizado_lift_c010_s005;0.05;30;30;0;652;2.323;ATENDIDO
param_autorizado_lift_c010_s002;0.02;30;30;6;2358;4.36;ATENDIDO
param_autorizado_leverage_c001_s005;0.05;30;0;0;652;2.408;ATENDIDO
param_autorizado_conviction_c100_s005;0.05;30;20;0;652;4.335;ATENDIDO
param_autorizado_lift_c010_s002_exploratorio_n500;0.02;500;152;24;2358;3.844;ATENDIDO
param_autorizado_lift_c010_s001_exploratorio_n500;0.01;500;500;0;5119;9.833;ATENDIDO
param_autorizado_lift_c000_s002_exploratorio_n500;0.02;500;152;24;2358;2.876;ATENDIDO
param_autorizado_lift_c000_s001_exploratorio_n2000;0.01;2000;1504;36;5119;5.263;ATENDIDO
param_autorizado_lift_c000_s001_n30;0.01;30;30;0;5119;5.293;ATENDIDO
